"Propinsi","tahun","kebutuhan"
"ACEH","2005","619876"
"SUMATERA UTARA","2005","547255"
"SUMATERA BARAT","2005","501315"
"RIAU","2005","551498"
"JAMBI","2005","495242"
"SUMATERA SELATAN","2005","495242"
"BENGKULU","2005","480000"
"LAMPUNG","2005","396456"
"KEP. BANGKA BELITUNG","2005","690000"
"KEP. RIAU","2005","552045"
"DKI JAKARTA","2005","759953"
"JAWA BARAT","2005","408259"
"JAWA TENGAH","2005","405282"
"DI YOGYAKARTA","2005","399964"
"JAWA TIMUR","2005","339227"
"BANTEN","2005","585000"
"BALI","2005","447500"
"NUSA TENGGARA BARAT","2005","526040"
"NUSA TENGGARA TIMUR","2005","402989"
"KALIMANTAN BARAT","2005","482250"
"KALIMANTAN TENGAH","2005","553376"
"KALIMANTAN SELATAN","2005","503775"
"KALIMANTAN TIMUR","2005","597878"
"KALIMANTAN UTARA","2005","-"
"SULAWESI UTARA","2005","522233"
"SULAWESI TENGAH","2005","588000"
"SULAWESI SELATAN","2005","505000"
"SULAWESI TENGGARA","2005","498600"
"GORONTALO","2005","531500"
"SULAWESI BARAT","2005","-"
"MALUKU","2005","602938"
"MALUKU UTARA","2005","674800"
"PAPUA BARAT","2005","-"
"PAPUA","2005","769050"
"ACEH","2006","775000"
"SUMATERA UTARA","2006","737794"
"SUMATERA BARAT","2006","668678"
"RIAU","2006","870625"
"JAMBI","2006","571142"
"SUMATERA SELATAN","2006","853000"
"BENGKULU","2006","586000"
"LAMPUNG","2006","589540"
"KEP. BANGKA BELITUNG","2006","714000"
"KEP. RIAU","2006","991237"
"DKI JAKARTA","2006","831336"
"JAWA BARAT","2006","542621"
"JAWA TENGAH","2006","582128"
"DI YOGYAKARTA","2006","673518"
"JAWA TIMUR","2006","580054"
"BANTEN","2006","735126"
"BALI","2006","742054"
"NUSA TENGGARA BARAT","2006","570000"
"NUSA TENGGARA TIMUR","2006","670560"
"KALIMANTAN BARAT","2006","605017"
"KALIMANTAN TENGAH","2006","850000"
"KALIMANTAN SELATAN","2006","684319"
"KALIMANTAN TIMUR","2006","764756"
"KALIMANTAN UTARA","2006","-"
"SULAWESI UTARA","2006","691224"
"SULAWESI TENGAH","2006","615000"
"SULAWESI SELATAN","2006","672650"
"SULAWESI TENGGARA","2006","573400"
"GORONTALO","2006","677162"
"SULAWESI BARAT","2006","672650"
"MALUKU","2006","1076699"
"MALUKU UTARA","2006","926286"
"PAPUA BARAT","2006","941099"
"PAPUA","2006","941099"
